timestamp,phase,event,subject,psi,accuracy,model_version,extra_info
2025-12-02T13:24:56.483560,phase2,PSI_OK,Marvel,0.0834542536058848,,v1,"conf=1.000, sim=0.623"
2025-12-02T13:24:56.563600,phase2,PSI_OK,Marvel,0.0830328875761385,,v1,"conf=1.000, sim=0.623"
2025-12-02T13:24:56.640842,phase2,PSI_OK,Marvel,0.0836918745045359,,v1,"conf=1.000, sim=0.644"
2025-12-02T13:24:56.722726,phase2,PSI_OK,Marvel,0.0852373206653809,,v1,"conf=1.000, sim=0.624"
2025-12-02T13:24:56.802464,phase2,PSI_OK,Marvel,0.0864686398703154,,v1,"conf=1.000, sim=0.663"
2025-12-02T13:24:56.889691,phase2,PSI_OK,Marvel,0.0881516826314351,,v1,"conf=1.000, sim=0.658"
2025-12-02T13:24:56.971123,phase2,PSI_OK,Marvel,0.0886149561019757,,v1,"conf=1.000, sim=0.667"
2025-12-02T13:24:57.068067,phase2,PSI_OK,Marvel,0.0882557913549021,,v1,"conf=1.000, sim=0.664"
2025-12-02T13:24:57.143633,phase2,PSI_OK,Marvel,0.0885746044498568,,v1,"conf=1.000, sim=0.639"
2025-12-02T13:24:57.240401,phase2,PSI_OK,Marvel,0.0814882514199338,,v1,"conf=1.000, sim=0.444"
2025-12-02T13:24:57.318944,phase2,PSI_OK,Marvel,0.0738218835356007,,v1,"conf=1.000, sim=0.444"
2025-12-02T13:24:57.415561,phase2,PSI_OK,Marvel,0.0671175980252853,,v1,"conf=1.000, sim=0.450"
2025-12-02T13:24:57.506802,phase2,PSI_OK,Marvel,0.0596878386874721,,v1,"conf=1.000, sim=0.427"
2025-12-02T13:24:57.595099,phase2,PSI_OK,Marvel,0.0515551850653133,,v1,"conf=1.000, sim=0.371"
2025-12-02T13:24:57.677611,phase2,PSI_OK,Marvel,0.0453051827357218,,v1,"conf=1.000, sim=0.402"
2025-12-02T13:24:57.759848,phase2,PSI_OK,Marvel,0.0366218498828791,,v1,"conf=1.000, sim=0.399"
2025-12-02T13:24:58.007305,phase2,PSI_OK,Marvel,0.0292637912603813,,v1,"conf=1.000, sim=0.417"
2025-12-02T13:24:58.110575,phase2,PSI_OK,Marvel,0.0230968481785732,,v1,"conf=1.000, sim=0.402"
2025-12-02T13:24:58.355570,phase2,PSI_OK,Marvel,0.0172061444103129,,v1,"conf=1.000, sim=0.426"
2025-12-02T13:24:58.442664,phase2,PSI_OK,Marvel,0.011783839791036,,v1,"conf=1.000, sim=0.435"
2025-12-02T13:24:58.534042,phase2,PSI_OK,Marvel,0.0073898843359898,,v1,"conf=1.000, sim=0.420"
2025-12-02T13:24:58.624460,phase2,PSI_OK,Marvel,0.004760694699885,,v1,"conf=1.000, sim=0.429"
2025-12-02T13:24:58.707388,phase2,PSI_OK,Marvel,0.0028499973294078,,v1,"conf=1.000, sim=0.413"
2025-12-02T13:24:58.856392,phase2,PSI_OK,Marvel,0.0016667169095584,,v1,"conf=1.000, sim=0.430"
2025-12-02T13:24:58.965686,phase2,PSI_OK,Marvel,0.0019979703540993,,v1,"conf=1.000, sim=0.465"
2025-12-02T13:24:59.063410,phase2,PSI_OK,Marvel,0.003424663157335,,v1,"conf=1.000, sim=0.477"
2025-12-02T13:24:59.154307,phase2,PSI_OK,Marvel,0.0060490170653391,,v1,"conf=1.000, sim=0.438"
2025-12-02T13:24:59.350128,phase2,PSI_OK,Marvel,0.0133778890893522,,v1,"conf=1.000, sim=0.486"
2025-12-02T13:24:59.438962,phase2,PSI_OK,Marvel,0.0262817783243752,,v1,"conf=1.000, sim=0.441"
2025-12-02T13:24:59.627550,phase2,PSI_OK,Marvel,0.0144353329704815,,v1,"conf=1.000, sim=0.480"
2025-12-02T13:24:59.718710,phase2,PSI_OK,Marvel,0.0073300666895593,,v1,"conf=1.000, sim=0.510"
2025-12-02T13:24:59.864692,phase2,PSI_OK,Marvel,0.005811144818603,,v1,"conf=1.000, sim=0.555"
2025-12-02T13:24:59.960998,phase2,PSI_OK,Marvel,0.0050222361084773,,v1,"conf=1.000, sim=0.606"
2025-12-02T13:25:00.056690,phase2,PSI_OK,Marvel,0.0058085224781622,,v1,"conf=1.000, sim=0.632"
2025-12-02T13:25:00.147987,phase2,PSI_OK,Marvel,0.0076016976287787,,v1,"conf=1.000, sim=0.634"
2025-12-02T13:25:00.237200,phase2,PSI_OK,Marvel,0.010614951283393,,v1,"conf=1.000, sim=0.642"
2025-12-02T13:25:00.333857,phase2,PSI_OK,Marvel,0.0147005124118925,,v1,"conf=1.000, sim=0.647"
2025-12-02T13:25:00.423180,phase2,PSI_OK,Marvel,0.0197371705411837,,v1,"conf=1.000, sim=0.543"
2025-12-02T13:25:00.520789,phase2,PSI_OK,Marvel,0.0254444955235455,,v1,"conf=1.000, sim=0.540"
2025-12-02T13:25:00.615439,phase2,PSI_OK,Marvel,0.0328771485627277,,v1,"conf=1.000, sim=0.534"
2025-12-02T13:25:00.712055,phase2,PSI_OK,Marvel,0.040464138154643,,v1,"conf=1.000, sim=0.532"
2025-12-02T13:25:00.803238,phase2,PSI_OK,Marvel,0.0476797527825023,,v1,"conf=1.000, sim=0.526"
2025-12-02T13:25:00.890134,phase2,PSI_OK,Marvel,0.0558334569943466,,v1,"conf=1.000, sim=0.518"
2025-12-02T13:25:00.980872,phase2,PSI_OK,Marvel,0.0641129161207084,,v1,"conf=1.000, sim=0.533"
2025-12-02T13:25:01.074298,phase2,PSI_OK,Marvel,0.0722537523597512,,v1,"conf=1.000, sim=0.509"
2025-12-02T13:25:01.176929,phase2,PSI_OK,Marvel,0.0791247655959253,,v1,"conf=1.000, sim=0.510"
2025-12-02T13:25:01.264750,phase2,PSI_OK,Marvel,0.084229579683304,,v1,"conf=1.000, sim=0.510"
2025-12-02T13:25:01.357254,phase2,PSI_OK,Marvel,0.0920135090982263,,v1,"conf=1.000, sim=0.530"
